,#1 String,#2 String
104,"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",couple walking
105,A man and a woman are holding hands as they walk along a city sidewalk.,A man and a woman are holding hands.
106,New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.
107,Two men in wheelchairs are reaching in the air for a basketball.,Two people in wheelchairs are reaching in the air for a basketball.
108,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Three wheelchair basketball players playing basketball in field.
109,Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing basketball.
110,Three dogs in different shades of brown and white biting and licking each other.,there are three dogs
111,"Two dogs playfully bite a third dog, which has its tongue sticking out.",A pair of dogs tease a third with nibbles.
112,Three small puppies bite and play together in the grass.,Three puppies are playing outside.
113,Two dogs biting another dog in a field.,dogs attacking another dog
114,Tourists waiting at a train stop.,A group of tourist waiting for a train at a train station.
115,A doctor in blue scrubs is performing an operation assisted by two men and a woman.,a old man was talking
116,A woman with a black jacket walks past an outdoor movie poster.,A woman walking outside.
117,A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,A man stands.
118,Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing outdoors.
119,Two older men are talking.,Two people are having a conversation.
120,A mountain biker jumping a slope outdoors in a forest area.,They are avoiding trees.
121,Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,Two old men in winter coats talk outside.
122,"Two elderly men having a conversation, snow covered grass in the background.",There are two men outside in this picture
123,Two men are standing outside and snow is on the ground.,People are near snow.
124,Two older men in coats are standing outside.,They are outside wearing coats.
125,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A man is holding an accordian.
126,BMX biker jumps over a ravine.,there is a bmx biker who is perfect in ravine jumping
127,A white bike is tied to a street sign.,the bike is tied to a sign
128,A white bike is leaning against a post.,A bike it outside
129,The boy locked the cycle and went away.,A boy walking away.
130,A crowded city during daytime.,A city filled with people in the middle of the daytime.
131,People walking around in a big city.,People are outside.
132,A busy city that looks like New York City.,The city has a lot of people in it.
133,"A view of buildings and people walking across the streets in Times Square, New York City.",There is a city.
134,A woman is making a clay pot.,An artist is sculpting with clay.
135,A barber waiting for customers.,A barber is at work.
136,A man sitting in a barber shop.,There is an individual waiting indoors.
137,A woman preparing to glaze a bowl.,A woman preparing to glaze
138,"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.",A woman is wearing an apron.
139,A model posing to look as if she's a real female soccer player.,A model is doing a shoot.
140,Firemen emerge from a subway station.,Firemen walking outside
141,Exhausted looking firemen are walking.,Firemen are walking.
142,"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",The firemen are gathered one is holding his helmet.
143,A man walking along side a clean up crew.,The man walked alongside the crew.
144,A little boy swims underwater.,A child swimming.
145,A driver is racing his Ford vehicle on a gravel track.,A Ford is being driven on a track.
146,Three guys and a girl are all jumping in a pool together.,The people are all jumping into a body of water.
147,"A little boy underwater in a pool, holding a plastic dinosaur.",Small boy in pool holds toy.
148,A little boy swimming underwater with a toy in his hand.,A little boy is underwater.
149,A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.,A man is being bucked on a horse.
150,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man rides an animal.
151,a woman with a straw hat working on a strange machine with coconuts at her side.,A woman is at a machine.
152,A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.,There is a person processing vegetables.
153,a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.,The woman is outdoors with a machine.
154,A woman on the side of a street is making food on her cart.,A person is cooking.
155,A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.,The man is running.
156,Women exercising one woman has a green mat and black outfit on.,The women are exercising.
157,Students practicing yoga in a class setting.,A yoga class is in progress.
158,People are stretching on yoga mats.,The people stretched on yoga mats.
159,A group of people are doing yoga.,The people are doing yoga
160,Motorcyclist performing while two men watch.,Men watching motorcyclist.
161,The young man is waiting with others on the sidewalk.,there is a group of people waiting outside
162,Two people pose for the camera.,People pose for a picture.
163,A man is sleeping on the grass.,The man is laying down to sleep
164,A white and brown dog is leaping through the air.,The white and brown dog is in the air.
165,A row of legs and black boots with a boy sitting at the end of the row.,A boy sits at peoples feet.
166,A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.,A man is wearing blue.
167,Various people hanging around outside of a building.,There are a group of people are standing outside.
168,A little girl follows two guys with umbrellas down a path.,The people are outside.
169,A lady is on the floor packing a suitcase.,She is packing.
170,Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.,A girl is running on the trail.
171,"Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.",3 people are walking along a path.
172,The blond woman is searching for medical supplies in a suitcase.,A blonde woman looks for things in a suitcase.
173,Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.,A woman is filling a suitcase.
174,A young woman packs belongings into a black suitcase.,A young woman packs belongings into a black luggage carrier.
175,People going for a long walk to the mountains.,The people are walking outdoors.
176,A man resting on a street.,A man resting on a street.
177,A woman in costume is marching with a large drum.,She plays in a band.
178,"A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.",Someone is toting packages in an urban setting.
179,a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie
180,A man sitting on a scooter on the curb.,"A man is outside, near the street."
181,A man stopping on the sidewalk with his bike to have a smoke.,The man is standing.
182,A man is sitting on a motorcycle on the sidewalk.,A man is sitting on a motorcycle.
183,Man smokes while sitting on a parked scooter.,The man is smoking something while sitting on the scooter.
184,Man on the sidewalk sitting on a motorcycle.,Man sitting on a motorcycle on the sidewalk
185,"A couple, wearing black, burgundy, and white, dance.",The couple danced.
186,People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People in orange vests await the beginning of a race.
187,A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.,The two people are dancing.
188,The skier is wearing a yellow jumpsuit and sliding across a yellow rail.,The skier is wearing a jumpsuit.
189,A track event held by J.P. Morgan Chase with security.,J.P. Morgan Chase held a track event.
190,"Two people dancing, wearing dance costumes.",The people are moving.
191,An english farmer with a horse pulled wagon.,There is a farmer with a horse wagon
192,Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.
193,A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer.
194,Two soccer teams are competing on a soccer field.,There is a soccer game.
195,Soccer teams play on a field as the sun sets behind a line of trees.,Soccer teams are competing outdoors.
196,two men serving preparing food.,Two men serving food.
197,A soccer game occurring at sunset.,a sports game is being played
198,White small child wearing a brown and gray striped hoodie plays at park.,A child plays at a park.
199,A little boy in brown pants is playing on ropes at a park.,There is a little boy in brown pants.
200,Toddler in striped sweatshirt plays on rope on playground.,A child plays on a playground.
201,A man in a blue shirt is looking up.,A person looks up.
202,Three girls on an amusement ride enjoying themselves.,There are three girls
203,Woman at Walmart check-out having her groceries bagged by an employee.,A woman is in Walmart
204,Brown dog treads through water.,Brown dog treads through water as he is soaked in water
205,A woman is waiting with children as she is checked out at Walmart.,A woman has children with her at the check out counter.
206,A blond woman with two children is checking out at a Walmart register.,A mother is with her two children at walmart
207,A woman sitting in a laundromat looking at the camera.,There is a woman in a room.
208,A young boy paddles across the water in a makeshift boat.,A boy is in a boat.
209,A baseball player is about to throw a baseball.,A baseball player is swinging to hit the ball.
210,A dog zips along the beach.,A dog is outside.
211,A white dog runs along a rocky shoreline.,A dog is running outside.
212,A fuzzy white lap dog runs along a rocky beach.,A dog runs across the beach.
213,A small white dog running on a pebble covered beach.,A dog on the beach.
214,A baseball player is putting all his might in to throwing a ball.,Pitcher is winding up a throw
215,Cheerleaders are on the field cheering.,Cheerleaders cheer on a field for an activity.
216,A woman holding a boombox.,A person holding a boombox.
217,A woman in a blue shirt and green hat looks up at the camera.,A woman wearing a blue shirt and green hat looks at the camera
218,Cheerleaders are doing a cheer at a football field.,The cheerleaders are wearing clothes.
219,"An excited, smiling woman stands at a red railing as she holds a boombox to one side.",A human standing.
220,A lady is kneeling wearing a blue shirt.,A lady is close to the floor.
221,The silhouette of three people in front of a wall.,The people are by the wall.
222,Two people wearing blue clothing are making hand gestures next to one another.,Two people are next to each other.
223,A spotted black and white dog splashes in the water.,the dog is in the water
224,"A large group, wearing pink shirts, waves to onlookers.",A crowd gesticulates.
225,A baby is playing with a strand of beads.,The baby is playing.
226,People are on a stage performing.,pwople are on stage
227,A woman is running a marathon in a park.,The woman is outdoors.
228,A group of people point forwards while performing some kind of act.,A group of people point forwards while doing something.
229,Several people are dancing together in sync.,people are dancing.
230,Group of people dancing,people dance together
231,An adult couple enjoys time in a hot tub.,A couple is in a hot tub.
232,An average looking man is playing the guitar.,The man knows how to play guitar.
233,Two tan and white dogs and one tan dog racing down the beach near the water.,three dogs are outside
234,A man and woman are walking down the street holding hands.,A couple of people are holding hands while walking.
235,A man is using his computer while seated at a desk.,A man sits at a desk.
236,A camera crew is filming two women in formal dresses sitting on a blanket in the middle of a park.,Someone is filming.
237,man sitting down playing a game of chess alone,A guy playing a board game by himself.
238,Young woman running as two guys in the back try to catch up to her.,group of people running
239,A man in a blue shirt sits outside alone with a chessboard laid out in front of him.,Someone sitting outside behind a chessboard.
240,A man dressed in blue shirt and shorts sits at a table while playing black in chess.,A man is playing a game
241,A young man in a blue blazer and shorts sits alone in front of table with a chess game set up.,A man sits in front of a set up chess game.
242,A young Asian man sits behind a set chessboard waiting for the other player to arrive.,A young man is sitting.
243,"Two young men drink beer, leaning on a graffitied wall.",The men are drinking.
244,A man being airlifted to safety after being in danger.,A man is being moved.
245,People in a meeting setting paying attention to a speaker in an orange shirt.,The people are listening to a speaker.
246,A meeting of young people sitting at a conference table.,young people are gathered around a table
247,A woman in a red shirt is speaking at a table in a room where three other people are listening to her.,the woman is wearing a red shirt.
248,A woman talks to two other women and a man with notepads in an office building with large windows.,a woman in an office building talks to two other women and a man with notepads
249,A classroom of students discussing lecture.,A classroom is discussing the topics of the day.
250,A man holds a clipboard and a pen as a woman looks at them.,A woman is looking at a man's possessions
251,A man with a bright green shirt is talking to a woman in a pink shirt.,A couple is talking.
252,A man in a green shirt holds out a clipboard for a woman in pink's attention.,A man wants a woman to look at his clipboard
253,A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,A man shows a woman something.
254,A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,The man and woman are outdoors.
255,A child with a yellow cup and milk all over his face.,The child had milk all over his face.
256,Two barefoot men are playing on a green lawn outside a building with other people in the background.,Two men are barefoot on the lawn.
257,Small laughing child with blond-hair sitting at a table holding a green sippy cup.,The child is happy.
258,A little boy drinks milk and gets milk all over his face and table.,the kid has milk on his face
259,Two pre-teen girls listening to music on an MP3 player with headphones.,Thre are girls.
260,A man is running behind a dogsled being pulled by four dogs.,A man is running  behind a sled.
261,Toddler with milk around his mouth.,A child has milk on their face.
262,A man dressed in warm clothing sleds behind four dogs in the snow.,The man is outside sledding.
263,A cowboy Roping a calf in a rodeo.,A person is performing.
264,Men fish on a concrete slab.,Men are near the water.
265,A man wearing a blue shirt screaming or yelling with his arms raised up in the air.,A man makes a ruckus.
266,"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",one person sits while three stand near a body of water.
267,Two little girls lie on the carpet next to an O made of wooden blocks.,Two girls lay next to wooden blocks.
268,People are fishing and walking next to the water.,People are fishing and walking next to the water.
269,Two guys playing football on a campus green.,There are some guys in this picture
270,Asian school children sitting on each others shoulders.,Schoolchildren together
271,A man wearing a red sweater is sitting on a car bumper watching another person work.,there was a speed breaker on the road by which people are taking care
272,A young woman frolicking on the lawn in front of the us capitol building.,A young lady playing in front of the capitol building.
273,a man wearing a multicolored striped shirt playing the guitar on the street,A man in a colorful shirt is playing an instrument.
274,A man wearing a colorful and striped sweater plays music in the street.,The man is playing music on an instrument.
275,A man wearing a multi-color coat is playing the guitar on the street.,The man plays guitar
276,Street performer in colorful shirt performing with small guitar.,A street performer is trying to earn extra money.
277,Two men are painting a building while a third is walking past on his cellphone.,A building is being painted.
278,Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,Three men are outside.
279,A blue excavator digging a large hold in cement.,a child was there
280,A man with khaki shorts on is holding a little girls hand while she walks in the water of a creek.,A man is holding a girls hand and walking through a creek.
281,Two women are walking down a dirt path carrying loads on their heads.,Two people are walking down a path.
282,A street vendor in Asia tries to bring in more customers.,A vendor trying to attract costumers.
283,Young woman in a cafe checking her cellphone.,A woman is inside.
284,A woman and a girl are playing in a field of leaves,Two people are outside.
285,two small girls walk along the leaves.,The two girls are outside.
286,"A girl wearing a blue shirt, shorts, and sneakers is seated on a stool at a round table, looking at her phone.",The girl is sitting.
287,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A young lady is looking at a picture.
288,"A woman sitting at a table, taking a picture.",THe woman is sitting down
289,A woman in a blue shirt is sitting at a table and looking at her cellphone.,a woman looking at her cellphone
290,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy is wearing a shirt.
291,The boy in the blue and yellow top is standing with arms outstretched.,A boy is wearing a shirt
292,"A boy in a blue, yellow, and orange shirt plays outside.",A boy in a shirt plays outside.
293,A child with a brightly colored shirt plays outside.,The child is outdoors in his bright colored shirt.
294,A boy looks down and spreads his arms wide,A boy is holding his arms out.
295,A man wearing a gray sweater walking through a pile of leaves.,The man is outside.
296,A lady wearing a blue print shirt and green head cover smiles for the camera.,A lady wearing a blue shirt.
297,The man wearing lots of medals is watching the girl in the yellow bikini top.,A decorated man sees a scantily clad female.
298,"A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground, with paved asphalt and green plants and trees in the background.",someone in his twenties kicks at the ground
299,A woman wearing a green headscarf laughs while a woman in the background paddles a boat.,A woman laughs while another paddles a boat.
300,Young people playing with a long jump rope in the street.,People playing jump rope.
301,A group of children play jump rope in the streets while others watch in the background.,Several children are jumping rope in the middle of a road while other kids watch
302,Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing a shirt sewing.
303,A group of young girls playing jump rope in the street.,Humans playing jump rope
304,A man in a tan suit is using a pay phone to make a call.,Someone is on a phone.
305,Some children are playing jump rope.,Children are jumping rope.
306,A large golden dog sniffing the butt of a white dog,Two animals getting to know each other.
307,A sumo wrestler with a brown belt is pushing another wrestler in a bout.,Two sumo wrestlers compete in a match.
308,Two large dogs greet other while their owners watch.,the dogs see each other
309,"A man in a red and black jacket, blue shirt, lots of silver necklaces, and his blue jeans falling down, checks out a woman wearing a black leather jacket, yellow bra, pink fingerless gloves, and sunglasses.",A man is wearing many silver necklaces.
310,Woman with green sweater and sunglasses smiling,A woman with a green sweater has a happy expression.
311,A woman with dark hair is wearing a green sweater.,A woman is there.
312,A smiling lady in a green jacket at a public gathering.,A happy woman smiling
313,A woman in a green jacket and black sunglasses outside in a crowd.,A woman is outside.
314,A lady with sunglasses on her head and a green sweatshirt is looking off-camera.,A woman is wearing a green sweatshirt.
315,A climber is making his way up a snowy mountainside.,A climber is ascending
316,A man dressed in snow-gear takes a leap into a snow-covered ravine.,A man is outdoors.
317,a lone person jumping through the air from one snowy mountain to another.,A person jumps in the air.
318,A man in shorts and a white garment stands at the base of stairs framed by black railing.,A man stands at the bottom of the stairs.
319,A man doing tricks in the snow.,The man is outside.
320,Two Asian people sit at a blue table in a food court.,Two people are seated together.
321,Indian couple holding child near riverbank.,A couple is holding a child
322,A bunch of people playing soccer.,a bunch of people are playing soccer
323,A soccer player jumping in air during a game.,A soccer player jumping up while a game is in progess.
324,A shot-on-goal action photo of soccer players in red and black uniforms.,a player has a penalty kick
325,The red team knocked the ball toward the goal and the black team tried to block it.,The red and black team are playing a game.
326,Six soccer players on field with player in red uniform in the air and ball airborne.,People are playing soccer.
327,Two little kids showing their American pride in their star spangled wagon.,Two kids are with a wagon.
328,"A young man in a red quilted vest displays an assortment of silver pendants around his neck as he watches a woman in a yellow bikini top, a black jacket, and bright pink fingerless gloves go by.",Someone is browsing jewelry.
329,Girl is blowing to a butterfly.,The girl blows a butterfly.
330,An elderly couple dances next to a table where a boy is sitting with his head down.,A young man has his head on the table.
331,A small girl stands among many large watermelons.,There is a girl standing
332,An elderly couple dance in front of a juke box while a guy in shorts sleeps at a nearby table,An old couple dance in by a juke box while a dude wearing shorts sleeps near a table
333,"An elderly couple, both wearing white shirts, dancing and a young male sitting at a table.",The couple is dancing together.
334,A child stoops to pick up a watermelon from a large pile of them.,A person is near a watermelon.
335,A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons.,The girl is under the age of 88 years old.
336,A little girl picking up a watermelon from a pile.,A girl is picking an item up.
337,a young girl in a flowery dress surrounded by watermelons,There is a lot of fruit.
338,A man in a blue jacket screaming.,A man is making a loud noise.
339,Children playing a game in a field.,Children playing a game.
340,A seated woman with short hair and a camera throws a Frisbee to a brown dog.,The woman throws a Frisbee to the dog.
341,Asian city scene of people in street with bright lights and glass buildings behind.,City people in street
342,A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.,A man is painting a landscape of an outdoors area.
343,An older man stands on the sidewalk painting the view.,The old man is painting a portrait.
344,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The Seiko building is large.
345,A small boy has gotten into the cabinet and gotten flour and crisco all over himself.,The boy is making a mess.
346,A male painting a scene in front of him.,A person is painting.
347,Busy Japanese intersection like maybe Tokyo.,There are lots of cars on the street.
348,Cars are passing through a town.,some car passing outside
349,A picture of a city with a sign welcoming travelers on a busy street.,A picture of a city is on a street
350,Overlooking a street with a sign above shops that states Welcome To Golden.,"The shop sign says  ""Welcome to Golden"""
351,There are cars driving down a street with a sign displaying Welcome to Golden.,The cars are outside.
352,"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A sign reads ""Welcome to Golden"""
353,Little Girl in brown shirt and blue jean skirt dances on wood floor.,A girl is dancing in a brown shirt and blue jean skirt on a wooden floor
354,A young man is performing a jump on a skateboard while another young man photographs his stunt.,Two boys are skateboarding outside.
355,A young girl dancing in her socks on a wooden floor strewn with pink balloons.,A girl is enjoying herself.
356,"Child with pink strings on head dancing surrounded by confetti, balloons.",A child is dancing.
357,"A good-looking firefighter sets up ""Do Not Cross"" tape in the city.",A firefighter sets up a do not cross
358,A fireman protects an area by setting up a boundary while others watch.,A fireman is working hard to keep people safe.
359,The blond girl is dancing inside a house.,A person is indoors.
360,"Two people standing in front of a large statue of a woman, other statues and busts visible in the background.","Two people standing standing near a large statue, with other states nearby."
361,a man with a white covering is walking up a flight of stairs.,A human walks up some stairs.
362,A family between a van and fence,A family by a van.
363,A woman talking to four little children outside.,A female adult is near some kids.
364,A mother with her four children.,A woman with children.
365,A woman and a few children in an alleyway in between a vehicle and a fence.,Several people in an alleyway.
366,A woman in a floral dress talks to children in front of a van.,A woman is talking to children.
367,Two men with heads down signing a paper.,The two men sign something.
368,A man and a woman having an intimate conversation in front a statue.,A couple are having a conversation
369,A man in a Tour De Force shirt is working on a bicycle.,A man is working on a bike.
370,A young toddler wearing pink sandals is walking on hopscotch numbers.,A baby walks on the ground.
371,a man wearing blue plays soccer.,man playing soccer
372,Mothers with children talking at a gathering.,The mothers are having conversations.
373,Two women are talking while children are sitting on their laps.,Some women are talking.
374,"Two women, each embracing a little girl, catch up at a small family gathering.",2 women are carrying little girls.
375,Two women holding children talking to one another.,There are at least four people.
376,"Two women, each with a child, look at each other.",Women are with their kids
377,A black-and-white dog carries a stick in his mouth as he swims in the clear water.,A dog is outside
378,A black and white dog with a stick in its mouth is swimming.,A dog with an object in it's mouth is in the water.
379,A pirate is chasing a princess down the sidewalk.,Pirate on the sidewalk
