,#1 String,#2 String
61,How can I improve my spoken English?,What should I do to improve my spoken English?
62,Is it healthy to eat egg whites every day?,"Are peanuts healthy, especially to eat every day?"
63,"What is the rule for a ""follow on"" in Test Cricket?",How is follow on is decided in test cricket?
64,What are some disadvantages of an informal economy?,What are some of the disadvantages of an informal economy?
65,Which is your favorite chocolate and Why?,Which is your favourite chocolate brand?
66,Is it possible to hack WhatsApp from a laptop through long distance?,How can I hack someone's WhatsApp account?
67,How can I reduce my chubby tummy?,How do I reduce my tummy fat?
68,What programming languages should I learn for video game development?,What programming language should I learn if I want to create games?
69,Can I produce a product patented in 1916 but never made?,Can I use a patent from 1916 that was never produced?
70,What is the difference between right and left politics?,What is the concept of right wing and left wing?
71,What is the difference between a Chartered certified accountant and chartered accountant?,What is the difference between a certified and a chartered accountant?
72,What are the best companies to work for as a software engineer?,What is the best company to work as software engineer?
73,What is the most followed topic on Quora?,What are the 50 topics with the most followers on Quora?
74,How do I set the font size in Quora?,How could I set the font size in Quora?
75,Is time travel possible? If yes? How?,Do you think time travel is possible?
76,What are your three wishes for the genie lamp?,"If a genie grants you three wishes, what do you intend to wish for?"
77,How can you overcome phobia of mathematics?,Can I overcome a phobia of mathematics?
78,"If you had a chance to be reborn in a country of your choice, which country would it be?","If given a chance to be reborn in a country of your choice, what country would you choose over your native country?"
79,What were all of Nero’s accomplishments?,What were Nero's greatest accomplishments?
80,How I can earn lots of money?,How can I earn money?
81,What would be effect of 500 and 1000 Rs notes ban?,"What are you views, pros, cons on ban of 500 and 1000 notes by goverment?"
82,Which is the best API for generating term document matrix in Java?,Which is the best API in Java for generating term document matrix?
83,What are the major characteristics of Italian leather?,What's so great about Italian leather?
84,How do I start preparation for cracking the IAS exam? What are some good books and ideas as I am from a middle class family?,How do I start preparation for IAS exam?
85,How can you make someone think something was their own idea?,What is the best way to convince someone to think something?
86,Which characteristics of men is attracted by women the most?,Which quality of men attracts the women most?
87,Whom do you love the most?,Whom do you love the most and why?
88,What are the best apps for blocking unwanted calls?,What is the best app to block unwanted voice messages and calls?
89,What do Australians think about Indonesia?,What do Australians think of Indonesia in general?
90,What are the Top mba colleges in india with better placemens?,What are some best MBA colleges are there in India?
91,Do black holes have infinite density?,"How can black holes be infinitesimally small, therefore having infinite density? It would make more sense for a black hole to be incredibly dense."
92,What are the reasons that people dislike Hillary Clinton?,Why do so many people say Hillary Clinton is evil?
93,Which can be the best laptop under 30000?,"which laptop will be best under Rs 30,000?"
94,What is a paradox in figurative speech? What are some examples?,"What is the meaning of ""paradox"" in figure of speech? What are some examples?"
95,How can I lose weight loss?,How can I lose weight safely?
96,How is college life like?,What is college life like?
97,How do I find the Nth prime number efficiently when N is as large as 100000000?,Is there any formula for finding nth prime number?
98,When is RRB senior section engineer exam conducted?,When is the RRB senior section engineer exam conducted?
99,Has anyone traded binary options?,Does anybody trade binary options?
100,What is VLSI /ASIC DESIGN?,What is difference between ASIC and VLSI design?
101,How can I reduce my Belly and tummy fat?,How do I reduce belly fat in minimal time?
102,What's the purpose of a human life?,"From your perspective, what is the purpose of life?"
103,How does one overcome feeling inferior?,How can one overcome the fear of inferiority?
104,What is your review of Raipur Institute Of Technology?,What is the review of raipur institute of technology?
105,What can I do to get better grades?,How do I improve my grades?
106,Why do IT companies want their employees to give them passport copies?,Why do IT companies want their employees to give passport copies?
107,Which is your favourite song and why?,What is your favorite song or what song do you recommend?
108,What is the scariest experience you've ever had?,What was the scariest experience you ever had?
109,How can I lose 25 pounds in a month?,What is the best diet to lose 30 pounds in a month?
110,What is the easiest way to take green card?,Who can help me get an America green card?
111,What is the difference between a cell phone and mobile phone?,Why is a mobile phone also called a cell phone?
112,Is it illegal to download movie with torrent in India?,Is it true that one should not download a movie from any torrent website in India?
113,How do human and plant cells differ?,How do animal cells and plant cells differ?
114,What is the taste of semen?,Does semen taste good?
115,What is means love?,What is the exact meaning of love?
116,Why doesn't Hillary Clinton win the White House if she won the popular vote?,What's your feeling on the fact Hillary Clinton won popular vote while losing the election?
117,How do you download photos from iCloud?,How do I restore pictures from iCloud?
118,Can I increase my height after 20 ? How?,Does height increase after 21? How can I get taller?
119,Which is the best korean drama of all time?,What is the best Korean drama?
120,How does the roles of man differ based on the persona's description?,How do the roles of man differ based on the persona’s description?
121,What are the best ways to improve English?,What is the best way to improve my spoken English soon?
122,What do Americans think about Donald Trump?,What do you think about the rapist Donald Trump?
123,Is it healthy to eat fish every day?,"Are peanuts healthy, especially to eat every day?"
124,How do I improve my pronunciation in English?,I want to improve my English?
125,"Since Trump will be the president, does he have to show us his tax returns?",Does Trump have to make his tax return public once he is sworn in?
126,What are your favorite photos of yourself?,Which is your favourite picture of yourself?
127,How can one grow a thick beard at a faster rate?,How do I grow a beard fast?
128,Is there a way to permanently change your eye color?,Is it possible to permanently change the color of the eye?
129,What is the best way or resources to learn english like a native speakers?,How can I learn English well？?
130,How can I make my money make money?,What is the best way make extra money?
131,What is the smartest thing you have seen somebody do?,What is the smartest thing anyone has ever done?
132,What are some sites from which I can earn money?,What are some websites where we can earn money?
133,How can I get my first book published?,How can I get a story I wrote published?
134,How can you increase your height?,What do I do to increase my height?
135,What's a way to last longer during sex? (For guys)?,How can I last for a longer time during sex?
136,Can someone travel back in time?,Can we travel in time?
137,How do I gain access to my gmail when I don't have access to the phone number or recovery email?,How can I reset my Gmail password when I don't remember my recovery information?
138,Where is the best Whirlpool Refrigerator Service Center in Hyderabad?,Where is located the best Whirlpool Refrigerator Service Center in Hyderabad?
139,What are personal attributes? What is their importance?,Why are personal attributes important?
140,How do I get meth out of my system in 3 days?,How do I get meth out of my system in 2 days?
141,When is the the right time to have sex?,When is the right time to have sex with someone?
142,How can gain my weight?,How can I gain weight?
143,What are the options for a chemical engineer after B.tech?,What are the career opportunities after finishing chemical engineering?
144,Will the value of Indian rupee increase after the ban of 500 and 1000 rupee notes?,How will India be affected now that 500 and 1000 rupee notes have been banned?
145,Is it true that there is life after death?,How would life be after death?
146,How do I get my 13-year-old daughter interested in programming?,How can I interest my thirteen year old neighbour to get into programming?
147,"Why did the Philippine president Rodrigo Duterte call Barack Obama a ""son of a bitch""?",Why is it correct for the Philippine President to call the U.S. son of bitch in the world?
148,Why were the 500 and 1000 rupee notes demonetized?,Why is the 500 rupee note banned in India?
149,Would you rather vote for Donald Trump or Hillary Clinton? Why?,Would you rather have Donald Trump or Hillary Clinton be POTUS?
150,What song fits the theme of your life?,What is the theme song to your life?
151,How do I remove the annoying Anti Trump questions from my feed?,How do I stop the donald trump questions on my Quora feed?
152,What is the best way to control our emotions?,How do I control anger and impulsive emotions?
153,What is the best way to start writing a book?,How do I start writing my own book?
154,Do you think racism still exists in our society today?,Does racism still exist in this generation?
155,Can you suggest me any jobs for work from home?,Can you Suggest me some good work from home jobs - online work ?
156,What is the GRAND purpose of life?,What according to YOU is the purpose of life?
157,Why do fusion reaction and fission reaction both release energy?,How can nuclear fission and nuclear fusion reactions both release energy when they're the opposite of each other? How exactly does this work?
158,How can you calculate the value of P on Excel?,How do you calculate a P value on Excel?
159,How can I reduce my belly fat in 2 months?,How can I reduce my belly fat through a diet?
160,"What's the main difference between the words ""people"" and ""persons""?",What is the difference between people and a persons?
161,How did you catch your spouse cheating?,How can I find out if my husband is cheating?
162,Do you think Donald Trump or Hillary Clinton will be the next president of the US?,Who will be the next president of USA 2016?
163,"If Asian isn't a race, how can you be racist towards Asians?",How can you be racist against Asians?
164,Is there any life in Mars?,Does life exits on mars?
165,I really like this girl but but she has a boyfriend what should I do?,Dating Advice: I really like a girl but she already has a boyfriend. What should I do?
166,What is your purpose of life?,What is my purpose in life? Why is there life on Earth?
167,What promotions can we get in SBI clerk?,What promotions for SBI clerk?
168,Where can I sell my idea?,Where can I sell entrepreneur ideas?
169,What is your all time favorite book?,"What is your favorite book, why?"
170,Was there anyone who prospered (legally) during the Great Depression?,What companies benefited from the Great Depression?
171,Are you the black sheep of the family?,Are you the black sheep of your family?
172,What will be the effect of banning 500 and 1000 notes on gold rate and real estate?,What will be the effect of note ban in real estate?
173,Is there a framework for auditing social media?,Is there a template or a framework for social media audit?
174,"Who came first, hen or egg?",Which comes out first the hen or the egg?
175,Why are Saltwater taffy candy imported in the Philippines?,Why is Saltwater taffy candy imported in Japan?
176,Who invented automobile?,Who invented the automobile?
177,Why can’t India be a communist country like China?,Would India ever be a communist nation like China?
178,Why was the Bill of Rights necessary?,Why was bill of right important?
179,Why is salt water taffy candy imported in France?,Why is Saltwater Taffy candy imported in Mexico?
180,What are great examples of absent mindedness?,What are some of the great examples of absence of mind?
181,How can I get a employment based Green Card for living and working in USA?,How can I get a green card to live and work in the USA?
182,What is the best way to become rich?,"Rich people of Quora, what should I do to become rich?"
183,What are some characteristics of eccentric and concentric contractions?,What are some symptoms of eccentric and concentric contractions?
184,How can I improve my English reading comprehension?,How do I improve my reading comprehension in English more efficiently?
185,Is it appropriate for a woman to show cleavage?,Is it appropriate for a women to show cleavage?
186,What is the use of demonetizing Rs. 500 & Rs. 1000 notes?,What do you think of the decision by the Indian government to demonetize 500 and 1000 rupee notes?
187,Why do all of my questions on Quora need improvement?,Is there a way on Quora to ask why a specific question was marked as needs improvement?
188,Career Advice: What is the reason many engineering students can't get jobs in India?,What is the reason lots of engineering students can't get a good job in India?
189,How can I change my profile picture on Quora?,How do I use my picture as my profile picture on Quora?
190,Are there any Q & A sites that are better than Quora?,Is there an intellectual Q&A site better than Quora?
191,Who will win the US presidential elections 2016: Hillary Clinton or Donald Trump?,"Who's going to win and become president, Hillary Clinton or Donald Trump?"
192,What are some simple life hacks?,What are some simple life hacks that everyone should follow?
193,What are some of your little side hustles that make you extra money every month?,"What are some great side hustles, I want to make extra money every month?"
194,What is the most efficient way to make money?,What is the best way to make money make more money?
195,How is it to work for Elon musk?,How is it to work with Elon Musk?
196,How can I get rid of big flying cockroaches?,How can I get rid of flying cockroaches?
197,How do men last longer in bed?,How can I last for a longer time during sex?
198,What is the wisest/smartest thing you've ever heard a child say?,What is the smartest thing you've ever heard a child say? Andy
199,How do I acquire a British accent?,How do I develop a british accent?
200,What are the best cities in USA with low cost of living?,What is the best city in USA with low cost living?
201,Which is the best cell phone under 10k INR?,Which is the best Android phones under ₹10k?
202,What are Bitcoin and Bitcoin mining?,What is the significance of bitcoin mining in bitcoin industry?
203,"I am currently pursuing btech from NSIT COE(1st yr), I want to join MIT(US) for MS program after, what are the all steps in detail to be followed?","I'm currently pursuing B.E. (IT) at NSIT, Delhi, want to pursue MS from MIT/Stanford/other top American college. I am a sophomore. What should I do?"
204,How many times we can we masturbate in a week?,How many times should I masturbate in a week?
205,Where can I get best support in Sydney for buying a property?,Where can I get best conveyancing professionals in Sydney specialising in both buying and selling real estate and other properties?
206,Why are Indians so obsessed about what people from other countries think about India?,Why do Indians care so much about what others think about them?
207,What is the best comedy movies you have been watched?,What is your best comedy movie?
208,Can someone listen to only Metal? (Not ACDC and Led Zepplin but heavy stuff) Do you or anyone else you know listen to only Metal? Is it possible?,Can someone listen to only metal (not ACDC and Led Zeppelin but heavy stuff)? Do you or anyone else you know listen to only metal? Is it possible?
209,How can I learn self-hypnosis?,How should I begin with self-hypnosis?
210,How can I become more observant?,What are ways to become more observant?
211,How many types of hard disk?,What are the main types of hard drives?
212,What is your greatest achievement?,Which is your greatest achievement?
213,What are some best way to reduce mental stress quickly?,What is your favorite way to reduce stress?
214,Can you get pregnant before ever getting your first period?,What age did you begin your period and can you get pregnant before it?
215,What does Balaji Vishwanathan think about the ban of ₹500 and ₹1000 currency notes in India?,What do you think about banning ₹500 and ₹1000 notes?
216,What are the areas that can be improved in any organization?,What are the areas that can be improved in any organizations?
217,Why is Starbucks in India overrated?,Is Starbucks overrated in india?
218,What are the safety precautions on handling shotguns proposed by the NRA in Arkansas?,What are the safety precautions on handling shotguns ?
219,What are some warm blooded animals and what are their differences with cold blooded animals?,How do warm blooded and cold blooded animals compare and contrast?
220,"Where can I get weed (cannabis, marijuana) in Bangalore?","Where can I get some high quality weed (cannabis,marijuana) in Bangalore?"
221,What personal habits are typically associated with highly successful people?,What are a few of the habits that successful people do daily?
222,What were the weaknesses of the Articles of Confederation? What were the strengths?,What were the strengths and weaknesses of the Articles of Confederation?
223,Who is god? Has anybody seen god?,"If Jesus is God, then who is God?"
224,Does penis size matter for girl or stamina?,Does penis size matters for girls?
225,What role does catharsis play in Greek tragedy? How often was it used?,What is the function of catharsis in a tragedy?
226,How can skinny men get six packs?,How can everyone get a six pack?
227,What do you think is the most inspirational movie of all time?,What is the most inspiring movie you have ever seen?
228,What are the best board games?,What is the best board game ever?
229,What are some of unbelievable conspiracy stories?,What are some of the unbelievable conspiracy stories?
230,What are the advantages of federalism?,What are the advantages of cooperative federalism?
231,What is a sure way to commit suicide?,What is the least painful and best way to commit suicide?
232,Are cats scared of cucumbers?,Why cats scared by cucumbers?
233,Why do people play lots of cards during Diwali?,Why do people play cards Diwali night?
234,How can one overcome porn addiction?,How do I get rid off from porn addiction?
235,"What is the Sahara, and how do the average temperatures there compare to the ones in the Syrian Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Dasht-e Kavir?"
236,What should I do to overcome my anger?,What is the best treatment for controlling anger?
237,How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet Z5200 44-in Photo Printer?,How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet T730 36-in Printer?
238,How can we control anger?,What do I do when I can't control my anger?
239,Is it possible to tell if someone has a mental illness just by looking at them?,Is it possible to discern mental illness in someone by simply observing them?
240,Why do people like dimples on a person's face?,Do people find dimples attractive?
241,What are the main features a Linux (Ubuntu) user would miss when moving to Mac OS X?,Why would someone switch from Linux to Mac OS X?
242,How can I lose weight fast without exercise?,Can I lose weight without exercise?
243,Is it possible to survive without a liver?,Is it possible to live without a liver?
244,Why isn't Google Chrome playing YouTube videos?,Why are some YouTube videos not working in Google Chrome?
245,Why do stars twinkle?,Why do stars flick?
246,What is the possibility of war between India and Pakistan after surgical operation?,How many people think that India is heading toward war with pak after surgical strike?
247,How do I concentrate in a better way on studies?,How do I concentrate in studies?
248,When did reservation came?,When did the reservation came?
249,How long does it take to get Ritalin out of your system?,How long does Ritalin last in your system?
250,"How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Gibson Desert?","How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Atacama Desert?"
251,What are your favorite Christmas traditions?,What is your favorite Christmas tradition?
252,Travel Tips: Where should I stay in goa if I want a lifetime memorable experience?,Where should I stay in Goa for the first visit?
253,Do donald trump or hilary Clinton would win?,Between Trump and Clinton who will win US presidential election?
254,"If God is truly omnipotent, how can free will exist?",If God is ultimately in control how can free will exist?
255,Mathematics Student: How does one study Roots and Equations in Mathematics in very easy manner?,Mathematics Student: How does one study Mathematics in very easy manner?
256,Can I.Q. be improved?,Can I.Q. be enhanced?
257,Why am I all alone?,Why am I so alone?
258,Why can't India stop printing more currency?,Why can't India print more currency notes as USA prints as per their need?
259,Are vacuum fluctuations an energy in a vacuum? Are these virtual particles? How do we know there is this energy if they didn't exist? Do they really exist?,Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?
260,Who is going to win the presidential election?,Who will win the 2016 U.S. presidential election and why?
261,Why are men cheats?,Why do men have to cheat?
262,Hypothetically if Al Gore won would the world be a better place than it is now?,"Would the candidate that won the popular vote in 2000, Al Gore, have made a better president than George Bush?"
263,Why are all my questions immediately being marked as needing improvement?,Why are ALL my questions being marked as needing improvement?
264,Which book is your favorite?,What book do you like best?
265,Can you buy a car safely from eBay or Craigslist? How would you go about doing it?,How can you safely buy a car from Craigslist?
266,Which is more important: competition or cooperation?,Which is better: Competition or Cooperation?
267,How do I get more confident in myself?,How can I feel more confident in myself?
268,What is your favorite Mammooty film and why?,Which are some of your favorite Mammooty films and why?
269,"If you were to kill a person, who would that be, and why?","If you could kill one person, who would it be?"
270,What principles do you live your life by?,What are the principles with which you live your life and base your decisions?
271,Why does the Middle East always seem to be at war and in riots?,Why is the Middle East always at war from the start of recorded history?
272,How strong would an ant be if human?,If a human being had the strength of an ant how strong would that human be?
273,What is the best coaching institute for gate in Chandigarh?,Which is the best coaching institute for GATE in chandigarh?
274,What are the safety precautions on handling shotguns proposed by the NRA in Illinois?,What are the safety precautions on handling shotguns proposed by the NRA in Washington?
275,I forgot my email Id and password on Facebook. How can I log into Facebook?,I forgot my Facebook email and password how can I log in?
276,What really matters in this life?,What matters most in life?
277,Is eating one healthy meal per day plus lots of water a good way to lose weight?,Can eating only one meal a day make you lose weight?
278,How do you improve your programming skills?,What should I do to improve my programming?
279,Should men always wear underwear?,Why should men wear underwear?
280,How can I enjoy studying?,How can I learn to enjoy studying?
281,If we use the Jio sim in one phone and we can use in another phone?,Can I activate Jio sim in one 4G phone and then use that sim on another 4G phone?
282,What should I do if I am feeling suicidal?,"I am feeling suicidal, what should I do?"
283,Why is white wine often chilled while red wine often is not (scientifically or historically)?,Why is red wine usually served at room temperature and white wine (especially champagne) served chilled?
284,How does one start a hedge Fund?,How do you start a hedge fund?
285,How do I get rid of tiny black bugs in my bed?,How can I get rid of little black bugs in my bed?
286,What is the relationship between United States and Canada?,How is the relationship between Canada and the US?
287,What is the most embarrassing thing you have done in front of your crush?,What was the most embarrassing moment in front of your girlfriend?
288,How should I improve my writing skill for blogging?,How can I improve in my writing?
289,Who was William Lloyd Garrison? What was his significance?,What is the significance of William Lloyd Garrison?
290,What are the best albums of any genre?,What are the best music albums to listen?
291,Does smoking weed cause cancer?,"Do people, who smoke weed get cancer?"
292,How will the passing of GST bill help Indian Economy?,How can GST be beneficial to the Indian economy?
293,What is the best Internet Service Provider in Chennai?,Which is the best internet service provider in chennai?
294,Can we time travel?,Is time travel theoretically possible?
295,Which are the best comedy movies in Hollywood?,What are the best Hollywood comedy movies to watch?
296,What are the some of the most beautiful aesthetically pleasing female faces of all time?,Who are some of most beautiful women in the world?
297,How did you prepare for NEST?,How does one prepare for the NEST?
298,Time Travel Is It Possible?,Is timetravel possible?
299,Why am I still single?,Why am I single?
300,How does Sharad Pawar had become what he is today?,How did Sharad Pawar become what he is today?
301,What is the best way to rob a bank and get away with it?,"Theoretically speaking, what's the best way to rob a bank?"
302,What is the best way to lose weight and not gain it back?,How can I lose weight safely?
303,Can some Lithuanian say the origin of surname Rulinskas?,What's the etymology of surname Rulinskas?
304,Which laptop is best under 25000?,What is the best laptop under 25000 in India?
305,What are the best java books?,Which is best book for Java?
306,When did man start wearing clothing?,How and when man started wearing clothes?
307,How can I get better grades in school?,How can you get the best grades at school?
308,Would the founder/CEO of a new/small commercial real estate firm that did 25 broker deals this year totaling $55 million be making over 500K a year?,Would the founder/CEO of 5 employee commercial RE firm be doing pretty well if they brokered 25 deals their 1st year totaling $55 million?
309,Websites: What is the best dating site?,Which is the best online dating site to use?
310,How can someone be an excellent teacher?,How I become a good teacher?
311,"I don't want anything to do with my ex boyfriend but at times I cannot stop thinking about him, what can I do to stop thinking about him so much?",I miss my ex so much how do I stop thinking about it?
312,What language did Jesus Christ speak?,What language did Jesus speak during his time?
313,What is the true meaning of entropy?,What is the concept of entropy?
314,What are the best ways to find jobs in India?,What is the best way to find job in India?
315,Which is the best place for shopping in Lucknow?,Which are the best places to visit in Lucknow?
316,What are good topics for research?,What are some interesting topics to research?
317,"Can cars run on water, like Stanley Meyer and some Australians claimed?",Could cars run on water?
318,What useful thing can I learn right now?,What is the most useful thing one can learn in just 5 minutes?
319,How do I get a boyfriend at age 13?,How do I get a boyfriend for age 13?
320,How could I be fluent in English?,What are some ways to improve English?
321,What kind of work is done on the ISS?,What kind of work do people do on the ISS? Is anyone working there right now?
322,How many elementary particles are there in the universe?,How many elementary particles are in the universe?
323,How do you know if your friend is jealous of you?,How do you understand that your friend is jealous of you?
324,How can I approach my university crush?,How can I approach my crush?
325,How will I know that am taking right decision?,How do you know that you have made the right decision?
326,What is a dominant allele? How does it differ from a recessive allele?,What is the difference between recessive trait and dominant trait?
327,What mystery is hidden in the Bermuda Triangle?,What is in the Bermuda triangle?
328,How do I participate or contribute in open source projects?,How do I start contributing to Open source coding?
329,Which is the best book for core Java?,What would be the best book to begin with for Java?
330,Can I do a mix of coconut oil with castor oil for hair growth and nourishment?,Can I do a mix of coconut oil and olive oil for hair growth and nourishment?
331,Why do people use iPhone?,Why do you use an iPhone?
332,"I already have Windows 10, can I delete Windows.old?","After resetting windows 10, can I safely delete the ""old windows"" folder?"
333,What is the best time for exercise?,What time is it best to exercise?
334,How much would a laser hair removal treatment cost in India? Is it safe?,What are full body hair removal by laser costs in india?
335,Do you think that cultural differences influence people relationship?,Do you think that cultural difference influence people relationship?
336,How can I learn about stock trading in India?,What are the good online materials to learn about investing in Indian stock trading?
337,Should the capital of Kerala be shifted to Kozhikode or Kochi?,How is the selection of Thiruvanathapuram as the capital of Kerala justified?
338,Which are the best movies in the world?,What is best movies till date?
339,How do I make effective presentation?,How can I give a wonderful presentation?
340,What are the best resources to learn programming at its core?,What are the best resources to learn programing?
341,Which is the best hairstyle for men?,What is the best hairstyle for boys?
342,What do you want in your life?,What do you want in life?
343,What some best horror movies?,What are some good horror movies?
344,Are we near World War 3?,How likely is World War III in the future?
345,Why do long distance relationships fail?,Is there a single case of a successful long distance relationship?
346,Which city is the best in India? Why?,Which is the best city in India?
347,Who are the best publishers and self publishing houses in India?,What are some good self-publishing houses in India?
348,How can I reduce my belly fat through a diet?,How can I reduce belly fat and overall weight?
349,What are your views on ban of 500 and 1000 rupee notes in India?,What are your views on the ban of Rs 500 and Rs 1000 notes by the Indian Government? Pros cons?
350,What makes Jack the Ripper so famous?,Why is Jack The Ripper so famous?
351,How can I stop my dog from chewing my shoes?,How do I stop my Husky/Border Collie puppy from chewing my socks?
352,What are the most populated cities in the world?,What is the most populated city in the world?
353,How exactly can I get out of this comfort zone by motivating myself?,How do I break out of my comfort zone?
354,How do I hack into someone's instagram?,How do I recover a hacked instagram?
355,Can I get rid of my OCD?,How can I get rid of OCD?
356,"What English dubbed anime websites and series are online, free and worth interest?",What are some good websites to watch English dubbed anime?
357,Has Quora turned into a political hack for Clinton?,Is Quora biased towards Hillary Clinton?
358,How can I increase my reasoning ability?,How do I increase my thinking skills?
359,Why are biofuels carbon neutral?,Why is biodiesel carbon neutral?
360,What are adverbs? What are some kind of adverbs?,What are some examples of adverbs?
361,Where can I get fantastic value in Sydney for floor tiles?,Where can I get best quality wall and floor tiles at very affordable rates in Sydney area?
362,What are the top 10 Bollywood songs?,What will be the top 10 Bollywood songs of all time?
363,How do I improve my physical descriptive writing skills?,How can I improve my descriptive writing?
364,What if I hired two private eyes and ordered them to follow each other?,What would happen if I got two private investigators to follow each other?
365,What people do with their free time?,What do people do with their free time?
366,"Do Mexican women like East Asian men (Korean, Japanese, Chinese)?","Are there lot of Mexican women that are attracted to East Asian men (Korean, Japanese, Chinese)?"
367,Does science have any evidence that parallel universes exist?,Does science have any proof that parallel universes exist?
368,How does passage of the GST bill help the common man in India?,How will the passing of GST bill help Indian Economy?
