#1 String,#2 String
"Yes, Dad?",Yes Dad?
A young man tries to balance a toddler on the front of his purple bike.,A young man tries to balance a toddler on the fron of his purple bike
"This guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.","This guide explores goals, success factors, and pointers on building finance organizations."
A boy is jumping in the water.,A person is jumping into water.
dark-skinned man with sunglasses in a blue shirt,The man is wearing blue.
"The Department points out that due to the programmatic changes mandated by the Personal Responsibility and Work Opportunity Reconciliation Act of 1996, there were no significant alternatives available that would both accomplish the objectives of the act and minimize any significant economic impact on the small entities.",There aren't any alternatives that will work.
"Only one other island in the small group is inhabited the little known, arid, and much flatter holiday hideaway of Porto Santo.",Porto Santo is not a common type of holiday hideaway.
Lady in black laying on bed in awkward position.,A woman dressed in black is on top of a bed.
"Most will serve snacks during the day, and you may even be able to order a full lunch or evening meal for a bargain price.","You can eat snacks in many of them, or even find a full meal at a low price."
A long line of children are walking along a dirt path in front of a building as adults are sporadically placed along the path to watch them.,A group of children walk in a line in front of a building as adults watch over them.
"In the 1970s, GAO started recruiting social scientists, computer professionals, and experts in such fields as health care, science, public policy, and information management.",GAO did some recruiting of professionals in the 1970s.
A army guy is talking on his walkie-talkie.,A person is using a communication device.
"""Let's hope ... no more wars.""Drew set the three books in a pile and regarded them attentively.",Drew put three books in a pile.
A dog chews on his red leash.,There is something in his mouth.
"Remember to take a warm layer if you intend to see a show during the winter months, as the evenings can be chilly.",The evenings are often cold during the winter months.
The basketball player looks around the court as another player tries to block him.,people playing basketball
plus it would cost me oh i think the last time i looked at it was about had a dollar fifty one way and i said no i'm not going to do that fast isn't that bad yet,It cost me about a dollar fifty one way.
One man lying down as his friend eats standing.,A man is laying while his friend eats.
A man in a jacket is standing in the snow watching.,A person outside in the snow.
"The focus on legalistic descriptions of punishable human behavior ignores unconscious behavior, the habits many men are accustomed to that don't call for punishment but are still harmful--what Conley says occurs within the reverberating circuitry of maleness.",Men often do things unconsciously and are not culpable but still inadvertently cause harm.
Two people are riding a red raft down a blue water slide.,Some people are on a water slide.
if you can do things together that really helps a lot,It helps to do things with each other.
A conductor gives a kid a tour of the train.,A conductor and child stand in a train.
A man in a yellow shirt checks readings on a device outside of Barnsdall Art Park.,A man in a yellow shirt checks readings on a device outside of a park.
The woman in the red dress is dancing with the man in a suit.,There are people dancing.
"Though physically part of the Louvre, the Mus??e des Arts D??coratifs is a separate museum with its own entrance at 107 Rue de Rivoli.","The Musee des Arts D??coratiffs is technically a part of the Lourve, but has its own entrance."
she doesn't drive,Driving isn't for her.
"And privacy--cloak of night, stocking mask, and any digital equivalent--is all that separates the thief from the law.",Privacy is all that separates the thief from the law.
A young child wearing an orange sweatshirt jumps down from a marble ledge.,The young child is jumping.
"Click on Utilities if you want to print the entire issue using Microsoft Word, or if you're dying to inspect our masthead (Boiler Slate ).",Boiler Slate is a masthead.
A guitarist leads a congregation in worship.,A man leads worship.
"The gardens of Carinosa (owned by ex-Prime Minister Edward Seaga) are famed for their Orchid House, which propagates 200 species.",The gardens of Carinosa belong to Edward Seaga.
Old lady in her night gown chasing a couple sheep out of a barn with a broom.,The old lady was sleeping.
Young boy in a Transformer shirt holding up ten fingers.,A young boy wears a transformer shirt and has his hands up.
Four men jumping in a basketball game,Players jumping in a basketball game.
A man wearing a gray jacket is standing outside on a sidewalk and facing another man who has a large camera on a tripod while another man holds a white pad of paper.,A few men are standing outside.
A beige and dark brown dog plays in the swimming pool with his mouth open.,A dog is in the swimming pool.
"Its healthy-living philosophy offers home-made organic foods plus a wholesome diet of massage, yoga, and specialist exercise classes.","The healthy living philosophy includes organic foods, massage, and yoga."
A man holds a red and green flag in one hand and a red and green vuvuzela in the other.,A person holds objects in both of his hands.
It is documentary evidence against me.,That is documented proof against me.
A woman does her shopping at the local Walmart,A woman at walmart.
"A little boy underwater in a pool, holding a plastic dinosaur.",Small boy in pool holds toy.
Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,Two old men in winter coats talk outside.
and most Americans probably don't really know what that would mean and i maybe i'm being maybe i'm assuming too much no i don't think most would i really don't and so i feel like the real motivation was something that uh most people would have absolutely no idea and that that motivation is to um you know to establish a one world order and to break up the monopoly power of the Middle East will so that they will submit under the uh one world order  i mean that's what i felt so i'm like going hum am i glad we went over there and did that um i think God's ultimately in charge and,Most Americans aren't knowledgable on what I mean what motivation it takes to establish a one world order.
"A cowboy wearing a baseball cap is on a horse in a rodeo corral preparing to throw the rope he is spinning over the young, small steer which he is chasing.",A cowboy is going to rope the steer.
A skier traveling downhill through mostly untouched snow.,A human traveling
"Therefore, it is important that agencies develop innovative and less costly ways to train their staffs-remembering as well that the level of return for investing in the skills needed for results-oriented management will depend largely on how well employees are encouraged to put those skills to use.",Agencies should develop innovative way to train their staff.
oh it'll it'll come to me but he wrote he wrote the Illusions the Illusions Illusions and A Bridge Over Time uh,"I can't think of the author's name, but I remember some of the books he wrote."
The collection requirement will not be effective until OMB approval is obtained.,The collection requirement isn't effective until omb approves it.
An elderly gentlemen looking at naked male statue.,a man looking at statue
Two male workers hauling off a piece of heavy off metal down a staircase.,Two workers are carrying something.
Two people in a tent near a rock wall.,two humans in a tent
African soccer players during a game.,The African soccer players ran.
The little child is wearing blue goggles.,The child is wearing glasses.
"The two most successful stories here, That I Had the Wings and Flying Home, are less self-conscious than A Coupla Scalped Indians.",The two most successful stories here are less self-conscious than the other.
yeah the key right there yeah,"Correct, the key over there."
There's also a stock ingenue (Susan Lynch) who loves the town's endearing pig farmer (James Nesbitt) but won't marry him because he smells so bad--and I'm not oversimplifying.,"Susan Lynch works with stocks and fell in love with James Nesbitt who is a farmer and owns pigs, however they will not marry."
"With no skilled Muslim labor at his disposal, Qutb called on local craftsmen to build the mosque from the ruins of 27 Hindu and Jain temples, demolished by their own elephants.",27 Hindu and Jain temples were destroyed by elephants.
Several studies have documented consumption changes not only in the intervention condition but also in the minimal intervention control groups.,There were consumption changes in the control group.
but usually when i go into the hot tub before i go swimming or when i come out i'm totally relaxed when i go home it's no big deal,I go in the hot tub before the pool to relax.
"Syracuse, N.Y.: International Institute of Administration Sciences, The Inter-University Case Program, November 1971.",The International Institute of Administration Sciences is in NY.
A little boy sitting on the shoulders of a man.,The little boy is sitting on the man.
Two ladies dressed in evening wear holding their cellphones.,Two women are dressed up and holding phones.
Bush's wife and daughters provide another handy shield.,Bush's family deflect.
An elderly man communicates with a man and a woman.,A human communicating
"It has overcome its penchant for overblown, chest-beating angst, according to Rob Sheffield of Rolling Stone , with its most mature album to date, which features clever, self-mocking lyrics and bears the influence of '70s supergroup Led Zeppelin.",It has left behind its tendency to be melodramatic and emotional.
There was a certain rumour ” ”,A rumor about something specific had been heard.
and i really do i do rely i do miss it i do rely on the news and uh i i guess i regret i don't get enough local really local we get some local papers but i guess i'm more interested in the national or international news,I do rely on the national news.
A climber walks along a snowy peak.,Someone is climbing
A little girl with blond-hair is playing and splashing in a mud puddle.,The girl is getting wet.
"Clinton called his talks with Netanyahu specific, frank, and candid.",Clinton spoke with Netanyahu.
where i don't think you should should necessarily ban guns any by any means but you should definitely have the character search and the seven day holding period and things along that nature uh you know you shouldn't be able to go out there and just buy one and you know right off the shelf,I don't think banning guns is the right approach.
Maybe the Sumitomo affair will remind us that not all the profitable things unfettered investors can do with their money are socially productive,"Hopefully, the Sumitomo affair will remind us that not all profitable efforts unfettered investors can do are socially productive."
A woman and a girl sit by a tree-shaded creek.,The creek is shadowed by a tree.
a performer dancing in the streets wearing an exotic outfit,a person is outside.
An aerial view of a city sidewalk with lots of people.,Lots of people are walking in a city.
hum-um and being under the influence of drugs is no excuse to me,Being under the influence of drugs is not an excuse.
Two people take in the view from a hillside.,Two people look down the hillside
A blond child climbing across a net.,A child climbing across a net.
A little girl is talking to her father while she is waiting to eat.,There are people talking
The woman sips her drink on the sidewalk.,A woman is drinking.
A jockey in blue rides a horse at a galloping pace.,a person on horse
A young man in board shorts jumps from a high dive into a pool below.,A guy in shorts jumps from a high dive into a pool
Three children are on a rug pretending to play instruments.,Three children playing.
"An older food vendor, in a white embroidered shirt, maroon vest and checked apron, is sitting, leaning forward, with her elbows on her knees and her hands clasped, behind her foodstuffs.",She is taking a break by her foodstand.
"We're moving retrograde, back to our previous position, out of Sagittarius!",We're moving retrograde out of Sagittarius.
"Also in the vicinity is the tiny, atmospheric chapel dedicated to Nossa Senhora das Neves (Our Lady of the Snows).",The small chapel dedicated to 'Our Lady of the Snows' can be found nearby.
Four young boys dressed in uniform play football.,The boys are football players.
"I guess there's nothing complicated about this deal, he remarked.",He expressed aloud that the deal was simple.
A bald man is standing in a crowd.,The man is being surrounded.
Here women carry bricks on their heads as gracefully as a pitcher of water.,Women are able to balance objects on their heads very well.
"You aim to stay on in Tubacca?""",Do you want to stay in Tubacca?
"Yes, why exactly is it so big? And besides, the boss of the region died of a heart attack, and his replacement is a quiet, phlegmatic introvert.",The boss of the region is dead and has been replaced by an introvert.
A woman wearing high heels falls backwards as onlookers laugh.,There are many people in this picture.
A rocking climbing mountain inside a building.,An indoor rock climbing mountain.
a man reads his paper on the bench.,The man is outside catching up on the latest headlines.
A city winter scene with a group of people skating on an outdoor skating area.,The people are outside at a skating area in the city.
A man of the street taking a nap resting his head on a rock. While,The homeless sleep where they can.
One is reminded of Gershom Scholem's remark to Hannah Arendt at the time of Eichmann in Jerusalem : This is not the way to approach the scene of that tragedy.,Gershom Scholem once said that: This is not the way to approach the scene of that tragedy.
"True or not, there is little debate that most low-income clients, and many in the middle class, find lawyers well outside their financial reach.",Whether it was fact or fiction it was noted that they could not afford the legal services.
A boy opens his mouth wide with delight in a field of giant sunflowers.,A boy is outside.
"Produced by NYD2, a communications firm based in Somerset, the documentary features case histories of clients whose needs ranged from housing to fighting off deportation.",The documentary covered clients and their various needs.
"Tall man, with a lot of freckles and red hair?","There was a tall, red headed man."
A man is in midair after leaping from a diving board as no one looks on from the seats behind him.,There is a person jumping from a diving board.
It wanted some five minutes to eleven when Tuppence reached the block of buildings in which the offices of the Esthonia Glassware Co.,Tuppence reached the block of buildings.
All traces of an ugly 19th-century attempt to balance it with a second tower have been removed.,There was an attempt to balance it with a second tower.
a man riding an angry horse,A man rides a horse.
A mother and son read a book about dinosaurs together.,They are reading together.
A small boy in a maroon shirt walks near a fountain while a woman watches from a nearby chair.,That woman was watching the little boy walk past the fountain.
right and and that's really what the Rangers need some some consistency you know outer starter,The Rangers could really use some consistency in their play.
"To maximize this investment, we are reviewing and updating our training curriculum to address the organizational, behavioral, and technical needs of our staff.","In order to maximize the investment, we are working on keeping our training syllabus up to date."
"Sea grapes and shrubs provide little shade here, but otherwise you should find no fault with either of these shores.","Although not much is wrong with the beaches, there is not much shade."
This will require a more stable budgetary and personnel environment than has been the case historically.,There's a need for a more stable budget and personnel environment in order to make this feasible.
A young man skateboarding on a short wall.,A man skateborading.
The portion of the rule containing the above collection requirements will not become effective until OMB approval is obtained.,The portion of the rule containing the above collection requirements are currently not in effect.
"You 129 don't suppose I came up those steps haphazard and said the first thing that came into my head?"" Tommy was pleased with the concluding words of this speech.",You don't supposed I came up here without preparing my words?
People are setting up chairs on a beach.,People are outside.
"It is a very busy day in New York city, people walking, setting, and yellow cabs at the light.",There are people walking in the city.
This is in spite of the fact that little mechanization existed in the Postal Service prior to 1970 and large amounts were added in the 1970s.,"Little mechanization existed in the postal service before 1970, but large amounts were added in the 70s."
"White dog on mountainside turns to face something offstage, sky in background.",Dogs on a mountainside facing something out of the picture.
"Importantly, our governing statute requires GAO to perform such committee requests.",It is important that the statute requires the GAO to do certain things.
A man and a woman sit outside- The woman is wearing a fur coat and the man looks professional with a tie.,There are people outside.
"They waited expectantly, but Hanson could think of nothing to do.",They waited and Hanson couldn't think of anything to do.
A cafe worker making a cup of espresso.,A person is working in a cafe.
"Rebbe Schneerson said it last week, two days before Christmas, because he was feeling so goooooood.",Rebbe Schneerson was in a great mood before Christmas.
that yeah well and our children are all here and we want to stay here so,Our children are here and we want to stay here.
you too i think that was good that was the best one usually i get distracted off the topic you know what i mean,I usually get distracted and end up off topic.
and i you know i say all power to her because she's an example to me of someone who really does have the choice i feel that a lot of uh women don't well i i said they have the choice but they don't necessarily feel that they do because they no longer  feel like if they were to just be a parent,I say she's an example of someone who can choose.
"The Taanos were the ones who introduced the Spanish to tobacco, corn on the cob, and that archetypal Caribbean mode of relaxation, the hammock.",The Taanos showed the Spanish how to use a hammock.
A young girl with curly hair in bikini lets the water from the beach tide touch her toes.,A child with coiled hair in a bathing suit lets the water from the ocean waves touch her toes.
She's never talked much.,She was always very quiet.
Man with a camouflage hat is throwing knives at a target.,a man is throwing knives
Old man in jeans and checkered shirt is helping a model airplane fly.,A man is flying a model airplane.
"A black man with gray hair, a white shirt, and blue trousers is sleeping.",A black man is sleeping.
Teams in two-man Kayaks paddle towards a rapids in a Powerade sponsored event.,A group of people are outdoors.
"2 women walk down the sidewalk wearing gloves, face masks and carrying brooms.",There are some people in the street
A man with a white headscarf and an I Love NY t-shirt is among several men picketing against PM Construction Services.,The man with the white headsarf is protesting.
--The sale of a direct loan is a modification according to the Federal Credit Reform Act of 1990 regardless of whether the loan being sold was obligated after FY 1991 or before FY 1992.,"According to the Federal Credit Reform act of 1990, the sale of a direct loan is a modification regardless of certain conditions."
"From the earliest days Egyptians recorded their activities on papyrus paper, helping us to piece together the pivotal moments in the great days of the Ancient Egyptian Empire.","A long time ago, Egyptians decided to record events from the Egyptian Empire on papyrus paper."
An Asian parade of some sort seems to be going on as a man struggles with his dragon prop.,There is an Asian parade taking place invovling dragon props.
in terms of subways and just just the general transition and i mean it i didn't you know i really you have to be interested in the subject too i think that was part of my problem,An aspect of my issue was a lack of interest in the field and subject.
A Dachshund going for a walk.,A dog is walking.
This is truly one of the world's treasure houses (see page 67 for a description of its art collection).,This can be considered one of the world's most valued houses.
"There had been a foretaste of elite foreign tourism in the 1920s, but it was the late 1950s when the rest of Europe began sun-seeking pilgrimages to Spain.",The late 1950s are when Europe started pilgrimages in Spain
A detailed history of the island doesn't begin until it became a colony of Carthage in the 7th century b.c. (see also pages 14-15).,The island was not well known until it became a apart of Carthage.
A man wearing a purple shirt and a backpack talks to a woman carrying a box.,A man talks to a woman.
"His blades swung, cut, and twirled but they never touched her.",She avoided injury.
"Ca'daan was at least four days away from Fena Dim, ten if by foot.",Fena Dim was ten days away from Ca'daan by foot.
A little boy in a life jacket jumping into a pool.,The little boy is getting wet.
exactly even you know in our own country i mean Bush was in the scull and bones the Trilateral Commission and all these groups with ulterior motives and so it's like what on earth is you know are these people ever here and involved in,Bush was involved in the Trilateral Commission.
A large group of people are walking for a cause.,a group walks
They also promised to try to solve their border dispute over Kashmir.,They promised to solve the dispute over Kashmir.
People gathered around a table of food at an outdoors gathering.,The people are eating outside.
"A woman in a plaid skirt and a man with plaid socks, kilt get ready to dance the night away.","Man and woman wearing plaid, ready to dance together."
I know that some of you are unhappy with the Commission's recommendations as they relate to your mail.,I am aware that the Commission's recommendations regarding your mail do not make you all happy.
Kansas is a real surprise i didn't expect them to get that far,I didn't expect the Kansas team would get that far
A baseball player mid-swing at home plate with catcher and umpire behind him.,A player tries to hit a ball at a game.
3 cents are invested abroad.,Investments in another country.
A child doing a handstand on the beach.,A child doing a handstand in the sand.
"Almost as spectacular as the flight to Everest, the air route to Pokhara heads in the opposite direction, paralleling the high mountains toward Annapurna.",Pokhara is almost as spectacular as flying to Everest.
"A girl wearing a black jacket and pink boots is poking in the water of the creek with a stick, from the creek bank.",The girl is being careful to not get wet from the creek.
A woman in a red shirt and glasses leans out an order window next to a tall chef statue and a famous sign.,A woman is in her car.
"It may turn out to be a piece of one of Mrs. Inglethorp's own dresses, and quite unimportant.","It may be part of Mrs. Inglethorp's dresses, which would be irrelevant."
A man is fishing on the dock despite the dreary weather.,the man is wearing protective clothing
"Have you lighted the fire in my room as I told you?""",Have you lit the fire in my room?
A white dog with a collar is running.,An animal is in motion.
and to a five year old they're they never get old you know an earthworm every single time she finds one it's uh it's a brand new exciting activity for her,Children love to play with earthworms.
There was no slowing as the body fell.,The body plummeted and showed no indications of being slowed down.
Time tells investors not to panic about the bad world  One of the worst things [investors] could do is let rising volatility and uncertainty drive them out of stock investments.,Allowing uncertainty to drive an investor out is one of the worst things they can do.
Two girls wearing black and white uniforms run down a grassy field.,Two girls in uniform are running through a field.
This person is walking by people carrying bags.,The person is moving.
"Some of these still operate, putting out tables in summer so you can enjoy alfresco drinks and food.",There are some places left that put tables out in the summer so you can enjoy alfresco drinks and food.
they went through a rebuilding thing down there and and and uh i watched them go downhill like all the teams do you know like Pittsburgh did like the New York Giants did like like i think the 49ers are about to do,The team isn't doing as well as they have before.
(This small difference would be further reduced if retail activities of rural carriers were not counted.),"If retail activities of rural carriers were not counted, then this slight difference would be further reduced."
A girl leaning against a woman's shoulder while sitting on a bench.,A woman and a girl are sitting beside each other on a bench.
"BHV, beside the Hetel de Ville, is very popular.","A very popular place is BHV, located beside the Hetel de Ville."
"If it had been Inglethorp who was carrying on an intrigue with Mrs. Raikes, his silence was perfectly comprehensible.","If there had been an affair occurring between Mrs. Raikes and Inglethorp, Inglethorp's silence was completely understandable."
family getting ready for wedding.,A family getting ready for a wedding.
Air force personnel introducing the new guy.,There is a new member of the air force.
Two people talking as they travel past a large group of bicycles and a small red car.,Two people are driving in a small red car.
Two men on horses at a rodeo getting ready to catch a young calve.,Two men are riding animals.
People in a restaurant watch the weather.,People in a restaurant are watching the weather.
Hire a regular columnist to write every Sunday.,Hire a columnist who writes regularly on Sundays.
"The elder Korbels came from a small town near the Czech/German border where Jews were almost entirely assimilated into secular life, hardly practicing, and lacking any communal institutions, including a synagogue.",The Jews in the small town did not practice their religion extensively.
Sinatra had seen some pictures of Brando and decided he needed to talk to the obese actor about his weight.,Brando is obese.
"Now, is all clear to you, Dave Hanson?""  ""Sure.","""So, Dave Hanson, do you understand everything?"""
and so they're getting they they get the socialization with other kids and you you know and not really school but but a different authority than mom once in a while you know and kind of learning how to deal with society,Socialization will help our kids understand society.
"Each of the five areas has a principal city as a focus or starting Rome for central Italy, plus Sardinia; Florence for Tuscany, with Umbria, and the Adriatic seaside resorts to the east; Venice for Veneto, the Dolomites, and Emilia's historic towns from Parma to Ravenna; Milan for Lombardy, Piedmont, and the Italian Riviera to the west; and Naples for the south and Sicily.",Florence is the principal city of focus for Tuscany
"Performers juggling fire and doing tricks, very happily.",The performers are juggling.
three and a half yeah or probably he or she is old enough to where they won't tease it too you know poke on it too much,She's three and a half years old.
Confidential to  You might have had a better chance of getting your money had the Globe not run a World Exclusive interview in which you're quoted disclosing titillating details about your ex's sexual fantasies and happy-hour proclivities.,The Globe published an article that included things I've said about my ex.
Walkers of all ages and abilities need only find a levada to take in some of the finest countryside anywhere.,Walkers can walk in the fine countryside.
Muslims revere the sites on the Temple  the Dome of the Rock and El-Aksa Mosque.,The El-Aksa Mosque is important to Muslims.
How may a proper person handle the delicate matter of bad breath when happenstance forces one into consulting with someone on the boss' staff?,"How do you tactfully tell someone like a boss, they have bad breath?"
A white man on a subway reading a magazine sitting between two men of Middle East ethnicity.,Someone is on a subway.
"From fiscal year 1986 to 1995, for example, total import entries increased by 242 percent, from 11.",Total important entries went up by over 200 percent between the fiscal years of 1986 and 1995.
"And in Iowa, one firm, Beckman  and  Hirsch in Burlington, offers an online program that leads visitors through a series of questions to create a will.",There is a firm in Iowa it Offers an online program for visitors.
The man in the red overalls stands on the sidewalk.,The man in the red overalls is standing outside.
People are standing in a room with colored balloons.,People with colored balloons.
"Three policemen, one on his cop bike, wearing black uniforms with black boots.",They are outdoors.
Two men work outside near a trench in the road.,Two men work outside in the road.
A child is buried waist deep in sand,A child is in the sand.
But I ain't takin' to have maybe one o' them thar engine trains snortin' out dirty smoke an' sparks hereabouts.,I don't want one of the engine trains putting out smoke.
A city scene in one point perspective with people walking.,People are walking in a city scene.
Three men in reflective suits in a field.,The men are outdoors.
"I am someone who is a uniter, not a divider.",I like to bring people together.
It is time to revisit and update the Clean Air Act once again in order to achieve the additional reductions needed to address public health and environmental problems in the most cost effective manner.,The Clean Air Act does not currently address environmental problems in the most optimal way.
"At the heart of the n ew church, however, are the remains of churches from the fourth, fifth, and 12th centuries.",The new church has remnants from other churches.
A woman sits reading a magazine under a bar.,A woman is reading something.
Two people are having a conversation while drinking alcohol.,The people are drinking booze.
Five people seated in a green house containing desert plant life.,Some people are sitting inside a house.
Four children with cowboy hats are sitting in the bleachers.,The children are not standing.
A lady with gray hair is entertaining a child.,A gray haired lady entertains a child.
The man is skateboarding on a large brick staircase.,A person is outside on stairs.
"A person with long, blond-hair wearing a bandanna drinks from a beer bottle while standing in front of window blinds.",There is a beer bottle.
Among the buildings to watch for are the H??tel des Barons de Lacoste (8 Rue Francois-Oustrin) and the Maison des Pauvres (12 Rue Alfred Sabatier).,You should look out for the Maison des Pauvres.
and um so they didn't know how it was going to work they're thinking that we were going to have to get a modem so that we could you know uh and a decks machine so that we could in my home so that we could make it through this eight weeks or so,They considered buying a modem to be able to make things work.
"As hotheaded as his father, Drew was ready to move on to California until the day all proof of his Rennie name was stolen from him, and his unwarranted arrest for horse-thieving brought on the accusations of the one man whose trust he needed.",Drew was ready to go to California.
A man standing in front of a projector screen,A man is with a projector screen.
A race dog is running for first,A dog runs in the race to get the first position
A young boy jumps off of a wooden dock and into the water.,A boy enters the water.
A indoor girls volleyball match is behind help at the olympic games while one team performs a spike move.,An Olympic girls volleyball match is being played indoors.
Construction workers who seem to be doing a job in a subway station.,The construction workers are working.
Several teenagers rollerblading at the park.,A group of people are outside.
"The labyrinth of narrow alleys constitutes several different  quarters,  each specializing in a particular skill or merchandise.",The quarters comprise different groups of narrow alleys that correspond to a craft or type of merchandise.
and i i it was uh really odd but we went home to Missouri at at at Christmas and i we had well we ran into town and in the ice,There was ice in the town.
Jon wondered how many men died with such brave ideas in their heads.,Jon thought about those who had died.
A woman is cutting dreadlocks off the head of a young man.,A young man is getting his dreadlocks removed.
"But he was among the first to explore them with a level of intellectual verve and artistic sophistication that suggested to blacks and the world that there was, within the American dilemma of race, not only the expression of mere local and immediate political protest but the broad and rich possibilities of the human condition itself.",He explored the issue of race in a wider context than before.
A woman in a green jacket is making a speech with a crowd standing behind her.,A woman is speaking to a group of other people.
"Boy in striped, hooded coat runs down grassy hill.",A child is running outside.
Two people skydiving over a body of water.,Two people are falling in the air.
7. Empirical/moral.,Practical and virtuous
They were both approved by OMB and assigned control  control number 32350461 for the amendments to the Quote Rule and control number 3235-0462 for the Display Rule.,The OMB approved both of them.
A man in a red shirt and camouflage shorts is outside grilling.,A man grilling wearing camouflage shorts and a red shirt.
A man wearing a white head wrap is pealing the green outer layer off some sort of tropical fruit.,A man takes the skin off of his fruit
A young man in a blue tank top washing his face with water from a bucket.,There is a man.
"There are two children, one with a broom the other with a dustpan that are cleaning up the concrete in front of a green trashcan.",Kids are doing a cleaning chore.
different terminology i don't care much for those subs there's too much bread for me i don't like that much bread,I don't like those subs because there is too much bread.
A boy clings to a statue of a beautiful woman.,The statue resembles a beautiful woman.
A brown dog is running though a river.,An animal running
A man dressed in orange and yellow in an alley.,A man is standing outdoors.
Four adults and a little blond girl walk up a set of outside stairs lead by a lady in a pink shirt.,Four adults and one child are walking up stairs lead by a lady.
Two men shaving their heads bald.,Two men shave their heads.
A young man with a beard at an event.,The young man has arrived at the event.
One man is eating while laying down.,A man eating.
"Ringlet township, the first point of arrival, offers little that is special, apart from flower nurseries and access to some tea plantations.",There is access to some tea plantations in the Ringlet township.
Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling),It is the first set of production tooling for manufacturing.
A green shirted man sits among the many unoccupied red seats.,There are many unoccupied red seats.
